grant_name,AGRI,ARTS,BIOC,CENG,CHEM,COMP,DENT,EART,ENER,ENGI,ENVI,IMMU,MATE,MATH,MEDI,MULT,NEUR,NURS,PHAR,PHYS,PSYC,SOCI,VETE,cluster
Shandong University,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Harvard Transdisciplinary Research in Energetics and Cancer Center, Harvard University",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
Ministry of Higher Education and Scientific Research,2,0,0,0,4,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,-1
Karlsruhe Institute of Technology,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,17
Queen Mary University of London,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
Smithsonian Environmental Research Center,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Smithsonian Tropical Research Institute,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"School of Energy Resources, University of Wyoming",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
Optical Society,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
National Institute for Social Care and Health Research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5
American Association of Petroleum Geologists,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14
Cancer Research Society,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Disability Rights Fund,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
"Plovdiv University Paisii Hilendarski""""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-1
"University of the Witwatersrand, Johannesburg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"Newborn Brain Research Institute, University of California, San Francisco",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Center for Latin American Studies, University of California, Berkeley",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Society for the Teaching of Psychology,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-1
Srinakharinwirot University,2,0,3,2,10,2,1,3,0,11,2,0,10,1,5,1,0,0,3,1,0,1,0,-1
Toyota Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7
Fundacja dla Uniwersytetu Medycznego w Łodzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
New Mexico State University,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
Japan Agency for Medical Research and Development,0,0,8,2,0,1,0,0,0,1,0,5,2,0,15,2,1,0,1,2,0,0,0,-1
Eunice Kennedy Shriver National Institute of Child Health and Human Development,0,0,2,0,0,0,0,0,0,0,0,5,0,0,25,0,0,0,0,0,0,0,0,-1
Gulf Research Program,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,5
Ministry of Health,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
Association pour la Recherche Thérapeutique Anti-Cancéreuse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Salt Science Research Foundation,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"School of Medicine, Kyorin University",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
National Alliance for Research on Schizophrenia and Depression,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
Nacey Maggioncalda Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7
Animal Behavior Society,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Appalachian State University,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Olympus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Department of Agriculture and Rural Development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"School of Veterinary Medicine, University of California, Davis",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"School of Pharmacy, University of California, San Francisco",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1
Astute Medical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Barrow Neurological Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2
Tower Cancer Research Foundation,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Regeneron Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2
International Society for Peritoneal Dialysis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
International Society of Nephrology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,2
Air War College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,4
Ministry of Defence,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Allergopharma,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
Merck Sharp and Dohme,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,2
Ministry of Education,5,1,3,5,4,0,0,1,4,1,5,1,3,0,2,0,0,0,1,17,0,5,0,-1
Mental Health Research UK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
Humane Research Trust,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14
Center for African Studies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
Ministry of Education,3,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,-1
University of Greenwich,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
Towson University,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shanghai Aircraft Manufacturing Company,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Secretaría de Educación Pública,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,6
Shanghai Association for Science and Technology,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Academia de Ştiinţe a Moldovei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Noda Institute for Scientific Research,0,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
University of Colorado,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
British Herpetological Society,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14
"Department of Health, Queensland",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Wellcome Trust,1,0,2,1,1,0,0,0,0,0,2,9,0,0,22,1,3,0,1,0,0,0,2,-1
Seattle Genetics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Interpace Diagnostics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"College of Science, Technology, Engineering, and Mathematics, Youngstown State University",0,0,1,0,4,0,0,0,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,-1
Francis Crick Institute,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,-1
Past Global Changes,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,-1
Türkiye Atom Enerjisi Kurumu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,6
Ministry of Education,2,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
Defense Intelligence Agency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"Research, Development and Engineering Command",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
"Clinical and Translational Science Institute, University of California, San Francisco",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Ohio Coal Development Office,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12
Walton Family Foundation,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,7
"MIND Institute, University of California, Davis",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Natural Reserve System, University of California",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
National Computational Infrastructure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Horizon 2020 Framework Programme,5,0,0,0,0,1,0,2,1,2,5,1,0,2,3,0,0,0,0,13,0,1,0,-1
H2020 European Research Council,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,-1
H2020 Marie Skłodowska-Curie Actions,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
undefined,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
H2020 LEIT Information and Communication Technologies,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,0
Dairy Farmers of Canada,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Harbin Medical University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Asahi Kasei Pharma Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Schweizerischen Neurologischen Gesellschaft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Pfizer Japan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Chugai Pharmaceutical,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
Keemilise ja Bioloogilise Füüsika Instituut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
Temple University,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ViiV Healthcare,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,1,2,0,1,0,0,0,0,-1
Nestlé Health Science,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Newton Fund,1,0,7,0,0,0,1,0,0,0,2,1,0,0,10,4,1,0,1,0,0,0,0,-1
Illumina,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
"School of Medicine, University of California, San Francisco",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Museum of Comparative Zoology, Harvard University",4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
European SocieTy for Radiotherapy and Oncology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,10
Intelligence Community Postdoctoral Research Fellowship Program,0,0,1,0,1,0,0,0,0,1,1,0,1,0,3,0,0,0,1,1,0,0,0,-1
Asahi Group Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Statens Naturhistoriske Museum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Research Opportunities Initiative, University of North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
FHI 360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"Nutrition Obesity Research Center, University of North Carolina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"Liver Center, University of California, San Francisco",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"David Geffen School of Medicine, University of California, Los Angeles",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Ziman Center for Real Estate, University of California, Los Angeles",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Center for U.S.-Mexican Studies, University of California, San Diego",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Department of Anthropology, University of California, Los Angeles",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Department of Plant Sciences, University of California, Davis",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Shell Exploration and Production Company,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Jazz Pharmaceuticals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5
Seventh Framework Programme,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,-1
"Council on Research, Computing, and Libraries, University of California, Irvine",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Jacobs School of Engineering, University of California, San Diego",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"School of Global Policy and Strategy, University of California, San Diego",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
UCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"Anderson School of Management, University of California, Los Angeles",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Center on Global Transformation, University of California, San Diego",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Office of Research and Economic Development, University of California, Riverside",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
New Jersey Agricultural Experiment Station,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
FP7 Ideas: European Research Council,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,-1
American Society of Cataract and Refractive Surgery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Society for Mathematical Biology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Weston Havens Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,6
"Center for Wireless Communications, University of California, San Diego",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
FP7 International Cooperation,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FP7 People: Marie-Curie Actions,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
undefined,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Department of Anthropology, History and Social Medicine, University of California, San Francisco",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Department of Pediatrics, University of Florida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Central Lakes Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
"Innovation, Science and Economic Development Canada",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17
Polymerat,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0
University of South Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,-1
"Department of Psychology, University of Wisconsin-Madison",0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3
Santa Fe Institute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,6
Louisiana Academy of Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,6
Rochester Academy of Science,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,6
Cholangiocarcinoma Foundation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"Agricultural Experiment Station, New Mexico State University",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
National Research Foundation,0,0,0,1,5,0,0,0,0,2,4,1,1,0,2,0,0,0,0,21,0,0,0,-1
Missouri University of Science and Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,6
Ames Laboratory,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Elekta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2
SMA Trust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
WellChild,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Bioenergy Technologies Office,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Melvin and Bren Simon Cancer Center, Indiana University",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Rudi Schulte Research Institute,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Tuskegee University,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Michigan Health Endowment Fund,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Campaign Urging Research for Eosinophilic Disease,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3
Vehicle Technologies Office,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Medical Engineering Centre, King’s College London",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,6
Takeda Oncology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Vietnam Academy of Science and Technology,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Institute of Chartered Accountants Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
Arcadia Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Alzheimer's Research Foundation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1
Brain Science Foundation,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19
Royal Marsden NHS Foundation Trust,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-1
Neuro Research Charitable Trust,1,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,-1
"Faculty of Medicine, University of British Columbia",0,0,0,0,0,2,0,0,1,1,0,2,0,0,5,0,0,0,0,1,0,0,0,-1
Disney Conservation Fund,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Astellas Pharma Canada,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2
Bergische Universität Wuppertal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
BP Exploration Operating Company Limited,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
Saudi Arabia Cultural Bureau in London,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,-1
"Kavli Institute for Brain and Mind, University of California, San Diego",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"School of Medicine, University of California, San Diego",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Graduate School, Southern Illinois University",3,0,1,0,0,4,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,-1
CERN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,6
University of Washington College of Arts and Sciences,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,6
Royal Perth Hospital Medical Research Foundation,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13
"Sundhedsvidenskabelige Fakultet, Aarhus Universitet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Office of the Higher Education Commission,26,1,38,5,10,4,3,9,10,13,34,8,8,8,13,9,0,1,9,17,0,2,2,18
"Centre of Excellence for Core to Crust Fluid Systems, Australian Research Council",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Swedish Cancer Foundation,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,-1
Guangdong Innovative and Entrepreneurial Research Team Program,0,0,0,0,2,0,0,0,2,1,0,0,5,0,0,0,0,0,0,1,0,0,0,-1
Sichuan Province Science and Technology Support Program,0,0,0,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0
Chang Gung Memorial Hospital,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,-1
Sichuan Youth Science and Technology Foundation,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Marc Fitch Fund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
Franklin and Marshall College,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Novocure,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Canadian Centre for Applied Research in Cancer Control,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,-1
"College of Natural Resources and Sciences, Humboldt State University",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1
Clorox Company,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9
Ordnance Survey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Tecnológico Nacional de México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
"Jane and Terry Semel Institute for Neuroscience and Human Behavior, University of California, Los Angeles",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Elanco Animal Health,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1
Innovationsfonden,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
"United Graduate School of Agricultural Sciences, Kagoshima University",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
"Ministry of Science and Technology, Government of Nepal",0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,14
Ministry of Energy,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,2,0,0,0,-1
Energy Policy and Planning Office,0,0,1,3,3,0,0,0,5,0,2,0,1,0,0,0,0,0,0,2,0,0,0,-1
Gifu University,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Thailand Center of Excellence in Physics,0,3,0,0,0,1,0,0,0,2,4,0,2,2,0,2,0,0,0,8,0,1,0,-1
Zoetis,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,15
Vidyasirimedhi Institute of Science and Technology,1,1,16,3,5,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,-1
PTT Public Company Limited,0,0,3,1,3,0,0,2,2,3,1,0,5,0,0,1,0,0,0,0,0,0,0,-1
Tomsk Polytechnic University,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,-1
"Ministère de l'Enseignement supérieur, de la Recherche et de l'Innovation",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,-1
NSCAD University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
Frank McGraw Memorial Chair in Cancer Research,0,0,0,0,0,3,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,1,0,-1
"Department of Anesthesiology and Pain Medicine, University of California, Davis",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Division of Materials Sciences and Engineering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
Association of College and University Housing Officers - International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
National Research Council,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1
"Centre of Excellence for Integrative Brain Function, Australian Research Council",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
Blond McIndoe Research Foundation,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
"Center for Undergraduate Research and Scholarship, Bowling Green State University",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
Gulf Coast Ecosystem Restoration Council,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3
Office of Refugee Resettlement,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Research and Innovative Technology Administration,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"Carolina Population Center, University of North Carolina at Chapel Hill",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Saskatchewan Pulse Growers,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
